YearMonth,Calendar_Year,Sido,Sigungu,Education_Join_Sigungu,Region_Type,Private_Education_Expense_10k_KRW
202401,2024,경기도,안산시 상록구,안산시,MidSmall,46.5
202401,2024,경기도,동두천시,동두천시,MidSmall,46.5
202401,2024,인천광역시,부평구,부평구,Metro,46.1
202401,2024,인천광역시,남동구,남동구,Metro,46.1
202401,2024,부산광역시,사상구,사상구,Metro,46.1
202401,2024,대구광역시,수성구,수성구,Metro,46.1
202401,2024,대구광역시,중구,중구,Metro,46.1
202401,2024,부산광역시,사상구,사상구,Metro,46.1
202401,2024,경기도,안산시 단원구,안산시,MidSmall,46.5
202401,2024,인천광역시,미추홀구,미추홀구,Metro,46.1
202401,2024,인천광역시,연수구,연수구,Metro,46.1
202401,2024,대구광역시,수성구,수성구,Metro,46.1
202401,2024,충청남도,아산시,아산시,MidSmall,46.5
202401,2024,경기도,고양시 덕양구,고양시,MidSmall,46.5
202401,2024,경기도,고양시 덕양구,고양시,MidSmall,46.5
202401,2024,경상남도,함안군,함안군,Rural,33.2
202401,2024,경상남도,함안군,함안군,Rural,33.2
202401,2024,경기도,김포시,김포시,MidSmall,46.5
202401,2024,충청남도,아산시,아산시,MidSmall,46.5
202401,2024,충청남도,아산시,아산시,MidSmall,46.5
202401,2024,충청남도,아산시,아산시,MidSmall,46.5
202401,2024,충청남도,아산시,아산시,MidSmall,46.5
202401,2024,강원특별자치도,태백시,태백시,MidSmall,46.5
202401,2024,충청북도,충주시,충주시,MidSmall,46.5
202401,2024,충청남도,아산시,아산시,MidSmall,46.5
202401,2024,경기도,고양시 덕양구,고양시,MidSmall,46.5
202401,2024,강원특별자치도,춘천시,춘천시,MidSmall,46.5
202401,2024,충청북도,청주시 서원구,청주시,MidSmall,46.5
202401,2024,경기도,이천시,이천시,MidSmall,46.5
202401,2024,충청북도,충주시,충주시,MidSmall,46.5
202401,2024,울산광역시,울주군,울주군,Metro,46.1
202401,2024,부산광역시,사하구,사하구,Metro,46.1
202401,2024,부산광역시,사하구,사하구,Metro,46.1
202401,2024,부산광역시,영도구,영도구,Metro,46.1
202401,2024,부산광역시,부산진구,부산진구,Metro,46.1
202401,2024,부산광역시,동래구,동래구,Metro,46.1
202401,2024,부산광역시,동래구,동래구,Metro,46.1
202401,2024,부산광역시,동래구,동래구,Metro,46.1
202401,2024,세종특별자치시,세종특별자치시,세종특별자치시,MidSmall,46.5
202401,2024,세종특별자치시,세종특별자치시,세종특별자치시,MidSmall,46.5
202401,2024,충청북도,청주시 서원구,청주시,MidSmall,46.5
202401,2024,대전광역시,동구,동구,Metro,46.1
202401,2024,충청북도,청주시 흥덕구,청주시,MidSmall,46.5
202401,2024,부산광역시,북구,북구,Metro,46.1
202401,2024,경기도,수원시 장안구,수원시,MidSmall,46.5
202401,2024,경기도,수원시 권선구,수원시,MidSmall,46.5
202401,2024,경기도,수원시 팔달구,수원시,MidSmall,46.5
202401,2024,경기도,수원시 영통구,수원시,MidSmall,46.5
202401,2024,경기도,양주시,양주시,MidSmall,46.5
202401,2024,광주광역시,광산구,광산구,Metro,46.1
202401,2024,경기도,파주시,파주시,MidSmall,46.5
202401,2024,경기도,용인시 기흥구,용인시,MidSmall,46.5
202401,2024,경기도,용인시 기흥구,용인시,MidSmall,46.5
202401,2024,경기도,용인시 수지구,용인시,MidSmall,46.5
202401,2024,경기도,이천시,이천시,MidSmall,46.5
202401,2024,충청북도,청주시 청원구,청주시,MidSmall,46.5
202401,2024,강원특별자치도,홍천군,홍천군,Rural,33.2
202401,2024,대전광역시,유성구,유성구,Metro,46.1
202401,2024,광주광역시,남구,남구,Metro,46.1
202401,2024,충청남도,태안군,태안군,Rural,33.2
202401,2024,충청남도,공주시,공주시,MidSmall,46.5
202401,2024,전라남도,여수시,여수시,MidSmall,46.5
202401,2024,전라남도,여수시,여수시,MidSmall,46.5
202401,2024,경기도,의왕시,의왕시,MidSmall,46.5
202401,2024,충청남도,천안시 동남구,천안시,MidSmall,46.5
202401,2024,충청남도,천안시 동남구,천안시,MidSmall,46.5
202401,2024,충청남도,천안시 서북구,천안시,MidSmall,46.5
202401,2024,충청남도,천안시 서북구,천안시,MidSmall,46.5
202401,2024,대구광역시,남구,남구,Metro,46.1
202401,2024,전라남도,순천시,순천시,MidSmall,46.5
202401,2024,전라남도,해남군,해남군,Rural,33.2
202401,2024,경상북도,김천시,김천시,MidSmall,46.5
202401,2024,경상남도,김해시,김해시,MidSmall,46.5
202401,2024,경상남도,김해시,김해시,MidSmall,46.5
202401,2024,경상남도,김해시,김해시,MidSmall,46.5
202401,2024,경상북도,경주시,경주시,MidSmall,46.5
202401,2024,경상북도,경주시,경주시,MidSmall,46.5
202401,2024,경상남도,창원시 성산구,창원시,MidSmall,46.5
202401,2024,경상북도,포항시 남구,포항시,MidSmall,46.5
202401,2024,경상북도,포항시 북구,포항시,MidSmall,46.5
202401,2024,경상남도,진주시,진주시,MidSmall,46.5
202401,2024,경상남도,진주시,진주시,MidSmall,46.5
202401,2024,경상북도,상주시,상주시,MidSmall,46.5
202401,2024,경상북도,구미시,구미시,MidSmall,46.5
202401,2024,충청남도,서산시,서산시,MidSmall,46.5
202401,2024,강원특별자치도,강릉시,강릉시,MidSmall,46.5
202401,2024,강원특별자치도,강릉시,강릉시,MidSmall,46.5
202401,2024,울산광역시,북구,북구,Metro,46.1
202401,2024,광주광역시,북구,북구,Metro,46.1
202401,2024,경기도,의정부시,의정부시,MidSmall,46.5
202401,2024,경기도,의정부시,의정부시,MidSmall,46.5
202401,2024,경기도,평택시,평택시,MidSmall,46.5
202401,2024,경기도,평택시,평택시,MidSmall,46.5
202401,2024,경기도,평택시,평택시,MidSmall,46.5
202401,2024,강원특별자치도,원주시,원주시,MidSmall,46.5
202401,2024,강원특별자치도,원주시,원주시,MidSmall,46.5
202401,2024,강원특별자치도,원주시,원주시,MidSmall,46.5
202401,2024,강원특별자치도,원주시,원주시,MidSmall,46.5
202401,2024,경기도,광주시,광주시,MidSmall,46.5
202401,2024,대전광역시,중구,중구,Metro,46.1
